id,correctAnswer
102501,A
102502,A
102503,B
102504,C
102505,A
102506,C
102507,B
102508,D
102509,A
102510,A
102511,A
102512,B
102513,D
102514,A
102515,A
102516,A
102517,A
102518,A
102519,A
102520,B
102521,A
102522,B
102523,A
102524,B
102525,A
102526,B
102527,C
102528,D
102529,D
102530,C
102531,A
102532,D
102533,A
102534,A
102535,A
102536,B
102537,D
102538,A
102539,D
102540,A
102541,B
102542,A
102543,A
102544,B
102545,D
102546,B
102547,B
102548,C
102549,C
102550,B
102551,C
102552,A
102553,A
102554,C
102555,B
102556,A
102557,D
102558,D
102559,D
102560,A
102561,A
102562,B
102563,B
102564,B
102565,C
102566,B
102567,B
102568,A
102569,C
102570,A
102571,C
102572,D
102573,D
102574,A
102575,D
102576,D
102577,A
102578,D
102579,D
102580,B
102581,D
102582,B
102583,C
102584,C
102585,A
102586,D
102587,C
102588,B
102589,A
102590,D
102591,B
102592,A
102593,C
102594,B
102595,B
102596,B
102597,C
102598,A
102599,A
102600,D
102601,C
102602,C
102603,D
102604,A
102605,B
102606,C
102607,C
102608,C
102609,A
102610,C
102611,B
102612,A
102613,D
102614,B
102615,D
102616,C
102617,B
102618,D
102619,A
102620,A
102621,A
102622,A
102623,B
102624,B
102625,B
102626,C
102627,A
102628,C
102629,A
102630,A
102631,A
102632,B
102633,A
102634,A
102635,C
102636,B
102637,A
102638,D
102639,B
102640,D
102641,A
102642,A
102643,A
102644,B
102645,A
102646,D
102647,D
102648,D
102649,A
102650,D
102651,D
102652,C
102653,A
102654,B
102655,C
102656,B
102657,D
102658,C
102659,B
102660,A
102661,A
102662,B
102663,A
102664,C
102665,B
102666,C
102667,B
102668,C
102669,C
102670,C
102671,A
102672,C
102673,D
102674,A
102675,A
102676,D
102677,A
102678,A
102679,A
102680,D
102681,B
102682,B
102683,B
102684,A
102685,C
102686,C
102687,A
102688,C
102689,D
102690,C
102691,D
102692,B
102693,B
102694,A
102695,A
102696,A
102697,D
102698,A
102699,A
102700,A
102701,B
102702,A
102703,C
102704,C
